Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
64775082,04/28/2025 12:59:16 AM,04/28/2025 01:13:27 AM,NYPD,New York City Police Department,Traffic,Chronic Speeding,Street/Sidewalk,11366,158-33 78 AVENUE,78 AVENUE,PARSONS BOULEVARD,160 STREET,PARSONS BOULEVARD,160 STREET,ADDRESS,FRESH MEADOWS,78 AVENUE,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,04/28/2025 01:13:31 AM,08 QUEENS,4068280015,QUEENS,1037047,202519,ONLINE,Unspecified,QUEENS,,,,,,,,40.72238703289527,-73.8095260418184,"(40.72238703289527, -73.8095260418184)"
64777058,04/27/2025 11:59:41 PM,04/28/2025 01:22:13 AM,NYPD,New York City Police Department,Traffic,Drag Racing,Street/Sidewalk,10312,3143 RICHMOND AVENUE,RICHMOND AVENUE,ARTHUR KILL ROAD,WAINWRIGHT AVENUE,ARTHUR KILL ROAD,WAINWRIGHT AVENUE,ADDRESS,STATEN ISLAND,RICHMOND AVENUE,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,04/28/2025 01:22:16 AM,03 STATEN ISLAND,5055330077,STATEN ISLAND,937063,143697,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.56096532407653,-74.16982359553867,"(40.56096532407653, -74.16982359553867)"
64774193,04/27/2025 10:47:09 PM,04/28/2025 01:03:30 AM,NYPD,New York City Police Department,Traffic,Drag Racing,Street/Sidewalk,11104,44 STREET,44 STREET,44 STREET,BARNETT AVENUE,44 STREET,BARNETT AVENUE,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/28/2025 01:03:35 AM,02 QUEENS,,QUEENS,1006594,212293,PHONE,Unspecified,QUEENS,,,,,,,,40.74934357380339,-73.91935773795824,"(40.74934357380339, -73.91935773795824)"
64774387,04/27/2025 08:21:53 PM,04/27/2025 09:14:23 PM,NYPD,New York City Police Department,Traffic,Drag Racing,Highway,,,,,,,,,,,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,04/27/2025 09:14:26 PM,Unspecified BROOKLYN,,BROOKLYN,,,ONLINE,Unspecified,BROOKLYN,,,,BQE/Gowanus Expwy,East/Queens Bound,Roadway,Gowanus Expwy becomes Brooklyn-Queens Expwy - Hamilton Ave (Exit 26),,,
64777084,04/27/2025 08:20:38 PM,04/27/2025 08:22:46 PM,NYPD,New York City Police Department,Traffic,Chronic Speeding,Street/Sidewalk,11366,77-42 160 STREET,160 STREET,77 ROAD,78 AVENUE,77 ROAD,78 AVENUE,ADDRESS,FRESH MEADOWS,160 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/27/2025 08:22:51 PM,08 QUEENS,4068280008,QUEENS,1037465,202756,ONLINE,Unspecified,QUEENS,,,,,,,,40.723035034391216,-73.80801616820261,"(40.723035034391216, -73.80801616820261)"
64773132,04/27/2025 08:19:47 PM,04/27/2025 08:22:09 PM,NYPD,New York City Police Department,Traffic,Chronic Speeding,Street/Sidewalk,11366,78-04 160 STREET,160 STREET,78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,ADDRESS,FRESH MEADOWS,160 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/27/2025 08:22:12 PM,08 QUEENS,4068290024,QUEENS,1037501,202513,ONLINE,Unspecified,QUEENS,,,,,,,,40.722367843137754,-73.8078882140154,"(40.722367843137754, -73.8078882140154)"
64775081,04/27/2025 08:05:38 PM,04/27/2025 08:06:49 PM,NYPD,New York City Police Department,Traffic,Chronic Speeding,Street/Sidewalk,11366,158-33 78 AVENUE,78 AVENUE,PARSONS BOULEVARD,160 STREET,PARSONS BOULEVARD,160 STREET,ADDRESS,FRESH MEADOWS,78 AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/27/2025 08:06:51 PM,08 QUEENS,4068280015,QUEENS,1037047,202519,ONLINE,Unspecified,QUEENS,,,,,,,,40.72238703289527,-73.8095260418184,"(40.72238703289527, -73.8095260418184)"
64776381,04/27/2025 07:48:31 PM,04/27/2025 10:48:42 PM,NYPD,New York City Police Department,Traffic,Chronic Stoplight Violation,Street/Sidewalk,11249,218 BERRY STREET,BERRY STREET,NORTH    3 STREET,METROPOLITAN AVENUE,NORTH    3 STREET,METROPOLITAN AVENUE,ADDRESS,BROOKLYN,BERRY STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/27/2025 10:48:45 PM,01 BROOKLYN,3023580020,BROOKLYN,994827,200138,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.716002991983885,-73.9618453971867,"(40.716002991983885, -73.9618453971867)"
64777057,04/27/2025 07:30:40 PM,04/27/2025 07:54:17 PM,NYPD,New York City Police Department,Traffic,Drag Racing,Street/Sidewalk,11378,63-02 59 AVENUE,59 AVENUE,63 STREET,64 STREET,63 STREET,64 STREET,ADDRESS,MASPETH,59 AVENUE,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,04/27/2025 07:54:20 PM,05 QUEENS,4027550023,QUEENS,1011576,201496,ONLINE,Unspecified,QUEENS,,,,,,,,40.71969449537218,-73.90142094998626,"(40.71969449537218, -73.90142094998626)"
64772070,04/27/2025 07:04:26 PM,04/27/2025 10:10:49 PM,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,11201,CADMAN PLAZA WEST,CADMAN PLAZA WEST,CADMAN PLAZA WEST,PROSPECT STREET,CADMAN PLAZA WEST,PROSPECT STREET,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,04/27/2025 10:10:53 PM,02 BROOKLYN,,BROOKLYN,986764,194585,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70076728663183,-73.99093327527702,"(40.70076728663183, -73.99093327527702)"
